portfolio,total_fees,taxes_owed,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
XMY-LSK,1590.7519332338538,25855.435625758946,236,0,32912.680815204665,51188.71319450352
BCY-CLAM,156.4587367445975,1683.7747801887413,162,0,4366.628088645822,6064.550228284993
DOGE-MONA,1077.2140778215878,19161.58270071555,206,0,44377.16108373528,48054.620725116896
CLOAK-EFL,2173.813930717709,27545.68822012285,264,0,45057.02290102718,77934.77698925333
NEOS-LBC,469.9312023072197,5180.244047253751,220,0,6105.758725074151,10045.107377534961
BRK-ENRG,903.1400764720315,10804.297776311188,244,0,10219.864448500275,21076.06959826506
EGC-BRK,1350.6945983262128,18387.314884605694,230,0,15468.419036944952,35983.18171406342
EMC-PTC,1152.0933770965246,17447.532538777785,238,0,24654.186427097073,48636.118828121645
DGB-EFL,613.5031912795357,8714.555712795685,242,0,15036.135634520939,27908.223186233332
BRK-ERC,1187.8949177507911,15733.313272250622,226,0,18936.266800366942,38963.21331312692
PPC-XMG,576.5524281938705,8295.656121005972,200,0,12390.171902814127,21472.77273538631
BSD-NEO,5104.898594568915,94533.79121572459,240,0,201734.6223605601,212081.4435421161
PIVX-SYS,495.58902413338666,7956.585240808659,204,0,19133.974251051804,28362.91961411757
BRK-AUR,878.2316622588039,11079.80126038523,230,0,10470.438051631449,22279.715375406675
BSD-XMG,1255.5432761265317,19692.366051751695,222,0,17620.508879724403,41152.355393221245
IOP-BTC,352.6490731974567,8386.859210833918,120,120,11751.229311067065,20005.211473847095
CLAM-STRAT,250.27387175007922,2816.4278700154473,186,0,7151.589546508033,9895.625376108115
VRM-VIA,1811.6506026223847,26094.93359068633,266,0,21195.523587410677,48086.05267146619
VIA-GRS,4080.5911861984227,56288.36880385583,274,0,129687.4052453988,232361.69815046247
DGB-XST,1466.720077964375,21017.216756024965,262,0,28785.79811089327,63231.916431652935
AUR-BCY,262.98749146249,3219.9371529896152,176,0,5780.67131512027,8780.1406084861
EMC-SPR,1008.6938689022807,9264.32934562895,286,0,13567.811723395254,29215.460791914556
ZEC-FLO,235.32261873580862,2539.962963981427,192,0,8990.241090118223,12613.924893150488
NAV-XMR,721.3553403541777,11892.04436382255,196,0,22637.498922055653,33935.54346454401
XMR-NXT,779.0140370376852,12603.578611139319,194,0,19765.018884211993,28383.496120020056
AUR-GRS,3378.4506284628765,45810.35627957018,268,0,119722.03130546355,150143.66586006648
SYS-DCR,401.7646578525829,6330.970749225367,200,0,23836.45305271779,34897.106518984714
BSD-DASH,718.5067229124198,12782.31287681466,166,0,18179.526186480973,31009.14530170789
EXP-PIVX,419.82953039642416,5098.363999461665,218,0,11803.507122740146,13775.05108029888
EXCL-PTC,1467.3183999869655,25549.63635808282,202,0,27988.280224647777,52362.73311880366
