,portfolio,total_fees,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
0,DOGE-PIVX-ETH-WAVES-LSK-XRP,1805.4015599464503,767,121,57489.52760812311,95137.29090153392
1,STRAT-WAVES-ETH-XLM-GNO-XMR,1750.8992467694632,739,107,95611.86106041576,93960.7006073849
2,XLM-REP-DASH-WAVES-ETC-DOGE,2035.1973937011244,894,0,88955.42801272722,84551.162309411
3,FCT-GNO-LSK-GNT-XRP-STRAT,1548.4288906204577,948,0,44267.93581572623,58813.11144535158
4,ARDR-GNO-STEEM-REP-ETC-BTC,1209.4150229629925,785,113,28948.752854589584,45835.41043459388
5,ZEC-LTC-GNO-LSK-REP-DCR,1065.8242227742494,854,0,36560.57650360216,40924.112864920826
6,PIVX-ARDR-GNO-ETC-STRAT-LTC,1203.0322688287754,874,0,25254.19695077189,41373.05616154483
7,GNO-REP-STEEM-ETH-STRAT-DASH,1159.0317050814385,752,106,32035.98636357331,48001.533101824694
8,FCT-BTC-LTC-LSK-PIVX-ETC,950.7195485220394,693,99,40101.661673842485,50580.197342371925
9,ARDR-XEM-WAVES-STRAT-ETH-LTC,1795.744797433365,745,115,41192.96441968501,79782.94744253774
10,XMR-XRP-PIVX-BTC-XLM-ETC,1751.5501611791528,711,135,94125.31536834568,99878.07529839751
11,ZEC-WAVES-GNT-FCT-ETH-LSK,971.5944483330014,743,93,45427.707990845716,54982.301293997334
12,XLM-PIVX-ETH-GNT-ETC-DCR,1284.7149639026768,841,117,85285.22724399818,76120.25593068288
13,DCR-REP-XRP-ZEC-WAVES-XEM,1624.1128563599207,852,0,35479.06646422647,60194.34054189647
14,XEM-BTC-XLM-ETC-STEEM-LTC,2207.05392034155,745,149,95900.7784913777,121434.58235715871
15,GNT-BTC-FCT-DASH-WAVES-DOGE,892.8981586857678,758,66,30416.454478470077,47581.690580204726
16,XLM-LSK-XEM-DASH-XMR-WAVES,3451.6813124746795,890,0,112213.00993834973,154708.47526462004
17,DCR-XEM-DASH-GNT-BTC-FCT,985.9889876608479,790,70,25902.31207311296,47338.97827236875
