portfolio,total_fees,taxes_owed,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
NXT-BRK-ETC-TX-CLAM-SEQ-PTC-LTC-XVG-SBD,2314.9971027879606,32663.632944060148,1578,0,38276.04503760644,68846.68095114248
STRAT-DMD-ENRG-SEQ-AUR-SHIFT-NAV-STEEM-RBY-NEO,2090.6815241189142,29680.597572235925,1540,0,52697.38149524997,66838.43670131532
LTC-DMD-CURE-STRAT-DGB-XMG-VTC-DASH-NXT-LSK,1559.6079920976158,26146.66053961331,1408,0,22461.53285004507,56575.03420578751
ENRG-TX-NLG-STEEM-VRM-NEOS-AMP-AUR-DOPE-ZEC,1307.6755544561152,16484.73902926695,1606,0,10917.212115664015,37708.859887751365
OK-NXT-AMP-XRP-XCP-ENRG-LTC-PPC-LBC-BTC,881.1706143351419,12952.014266152306,1403,125,13539.810768242442,29564.77703138713
XMG-IOC-ZCL-NAV-DCR-BYC-NXS-MONA-RBY-RVR,3243.5569662518706,39166.45561320156,1754,0,24735.879575789786,97351.64938329528
RDD-XMG-GRS-DOGE-PPC-EBST-EFL-OK-DOPE-ENRG,4270.693331509606,59957.31252504862,1774,0,38879.56056385962,142446.87940047603
XRP-LTC-IOC-XMG-XMR-SLR-ABY-EFL-REP-BCY,937.3206173494905,14178.8426486863,1354,0,13934.743645378365,32215.705482359765
ZEC-DMD-FLO-XLM-POT-RBY-IOP-GRC-AEON-SHIFT,1165.5259891401183,16178.615314775036,1576,0,14935.203501425356,38535.95395242519
RBY-XMR-GRC-PPC-ABY-MONA-CURE-DCR-IOP-EBST,1881.1394028736265,27070.232344304983,1588,0,20952.65416603162,63060.55320598401
XMG-BYC-LTC-PIVX-FLO-BCY-DMD-SBD-DASH-MONA,1503.3870374202077,21293.354816525505,1430,0,22574.98769322074,51496.86042982574
NXT-XST-ZCL-DOGE-AEON-MONA-ETH-NLG-SEQ-AUR,2934.2772162515002,39568.222226246646,1718,0,25850.054756831047,94162.32773325127
BYC-CURE-PIVX-MONA-RVR-ENRG-BRK-NEO-REP-FLO,2472.5324037738637,32108.420162563438,1614,0,57501.257071512584,78199.84583553295
EXCL-OK-DCR-BTC-AUR-EFL-XRP-XMR-TX-SPR,1422.7405431863917,22388.800797910873,1444,100,18354.42233286035,56654.70309875407
VRM-SHIFT-ENRG-BLK-XRP-RVR-EFL-AEON-SYS-VTC,1859.521344910918,25734.50098303173,1640,0,16913.459622564747,54883.33170475104
WAVES-SPR-XLM-STEEM-BYC-SHIFT-VRM-EMC-LSK-STRAT,1549.2390206047799,20780.49346655628,1578,0,21321.592303837013,54614.930827922406
CURE-SPR-NXT-SLR-DOPE-GRC-EGC-IOP-XMR-EMC,1887.3997668655309,25614.60288455322,1660,0,14072.160634547472,53864.47114048228
BCY-AEON-DOGE-LSK-RVR-ETH-IOP-XMY-SLR-XRP,1347.5369786420397,19370.933374171742,1503,7,16150.012010610244,40841.6652143765
SBD-XRP-ZCL-PTC-STRAT-XVG-SLR-ABY-RVR-LTC,3343.710915334803,45004.09485656222,1674,0,38022.593114145784,100776.23926846156
