,hodl,hourly,daily,weekly,monthly
EBST-UP-GOLOS-AMP-NXC,2862.837012011128,8580.109668263101,6533.338293335375,7554.610014994832,3766.5802391037328
POT-SNT-GLD-GOLOS-OMG,3633.3303065174573,9877.66207073391,8527.960697977205,10244.097885578378,5018.562714464615
PRO-DMT-SHIFT-USDS-BITB,3006.5585420507978,12346.110128251885,6730.858956388939,5301.43106099446,4171.191049861808
MFT-DYN-NAV-EMC2-NLC2,2479.304801923597,8924.79716074419,6605.59695306027,6443.7267359229245,3565.3430725087874
REP-WAVES-FLO-CANN-DNT,3750.3880270676673,11658.181298724976,9709.760129420358,7463.0886101519145,4109.309713354574
EMC2-DOPE-MER-ADT-LBC,2715.308006322557,6714.737999589311,5676.727573717144,4537.3688329635,3493.9569293028835
RADS-VRC-FLDC-CANN-GOLOS,2953.542501040816,7707.277762295061,4799.120732210415,4238.8861580576895,3558.0822380323602
ETH-STEEM-BSD-SNT-PTOY,2455.736668054938,5884.236776383572,4168.179120012519,3838.092850395483,2860.6454072189094
UKG-BSD-ENG-TX-IHT,2525.4980899836864,11859.445410348791,6834.856219181274,5031.0672716908175,5340.388572320676
MER-MANA-HMQ-DMD-DCT,2612.2234960301685,6787.981650265165,5231.337061113147,5350.493426897642,4907.096669481063
SRN-NAV-BITB-LTC-DGB,2296.000832390365,4897.472372762251,4001.6994886045295,3975.172088306778,5552.496258891843
BRK-LBC-DTA-EGC-EXP,3022.6909425289705,12642.01818064069,8213.440831624592,5882.3418671293675,3821.393980502838
DCR-USDS-ETC-SYS-ENG,2443.609854158518,5118.543977760534,3510.411203276567,3237.015978253266,2713.7118994555085
MUE-UBQ-NXT-NXC-EDG,2840.156476618325,7908.331290182323,5999.875494631889,6650.369782042605,3279.5618121815032
SNT-CANN-ADT-THC-RCN,2250.3580406774317,4668.197381924272,3637.049622008572,2649.396258650858,2448.2218099220872
SHIFT-BCPT-CBC-POLY-GO,2754.657256515082,8433.485290063345,6623.996123735382,5765.317538747413,5517.721927302016
VTC-ZEN-XMR-DNT-ETH,2543.332437039382,4365.84557328094,3708.489546783128,3110.715245639379,2667.5091940586435
CVC-DTB-LOOM-BAT-GOLOS,3055.904107259703,8228.341032137745,7264.477323619209,6603.385402172497,4268.663898497323
ADT-FCT-BCHSV-REP-VTC,4134.0781981537875,67270810156.5378,264248.4310504,102183.15894903427,10718.38627314646
XWC-BRK-IGNIS-ETC-XEL,2630.960841601576,7111.288775284191,5416.151984247999,4037.2047748943614,2967.3572947313537
ZEC-RADS-XLM-REP-SLS,2799.541499720641,4799.693230879452,3839.375108996661,3615.490930337851,3128.1348507283033
NEO-RADS-ZRX-DASH-KMD,2556.7275750840745,4445.792362747608,3336.1739330271666,3094.2292843247706,2686.578623860692
UBQ-ARDR-EXCL-IHT-LTC,3067.443189737854,9574.595893506435,5788.5786664993775,4647.215278177312,3548.964397816249
SIB-SALT-GBYTE-BCHABC-PAL,3145.3268165588706,33378.75327938641,12374.214865208967,10568.107516332653,4144.867769550696
