date,BTC,ETH,XRP,LTC,DASH,XEM,ETC,XMR,NEO,ZEC,QTUM,STEEM,WAVES,SC,GNO,LSK,GNT,REP,DOGE,SNT,XLM,GBYTE,DCR,FCT,DGB,OMG,BAT,PIVX,NXT
1501459200000.0,2746.99998906,0.07077899,5.865e-05,0.01455179,0.06222663,5.896e-05,0.00495817,0.01450881,0.00260666,0.06335107,0.002,0.00046809,0.00099652,2.92e-06,0.06520644,0.00065778,8.498e-05,0.00616602,6.2e-07,1.848e-05,5.8e-06,0.17015687,0.00960022,0.00622268,5.84e-06,0.0004348,3.677e-05,0.00070598,3.641e-05
1501545600000.0,2858.2500105,0.070297,5.728e-05,0.01468992,0.0624997,5.791e-05,0.00481,0.01393401,0.002567,0.06011759,0.00208448,0.0004455,0.00096016,2.83e-06,0.06600411,0.00066499,8.122e-05,0.00570144,5.9e-07,1.849e-05,5.62e-06,0.162,0.01010953,0.005622,5.76e-06,0.00042907,3.63e-05,0.000672,3.687e-05
1501632000000.0,2738.97997806,0.08250059,6.499e-05,0.01577776,0.067589,6.652e-05,0.00534995,0.01612002,0.00287557,0.06914659,0.0023798,0.00048605,0.00108554,3.16e-06,0.07013892,0.00075056,9.46e-05,0.00652668,6.5e-07,2.012e-05,6.57e-06,0.19646742,0.0107,0.00702921,7.06e-06,0.00048624,4.465e-05,0.00073995,5.125e-05
1501718400000.0,2690.00001116,0.0805,6.333e-05,0.0155,0.06760914,8.18e-05,0.00535897,0.01613634,0.00303,0.0700688,0.00232014,0.00046594,0.00132031,3.24e-06,0.07358008,0.00078016,9.28e-05,0.00637771,6.6e-07,2.004e-05,6.83e-06,0.2117404,0.01078505,0.00731829,6.92e-06,0.00051025,4.293e-05,0.0007298,6.764e-05
1501804800000.0,2790.9,0.08030001,6.245e-05,0.0151737,0.06698,8.216e-05,0.00549268,0.01558048,0.00392,0.06778348,0.00272009,0.0004575,0.00137153,3.26e-06,0.07147519,0.000745,0.00010376,0.00626483,6.3e-07,2.017e-05,6.77e-06,0.214,0.010316,0.0067403,6.86e-06,0.00069817,5.165e-05,0.00072752,5.901e-05
1501891200000.0,2863.0,0.07690002,6.035e-05,0.01499217,0.06511295,7.895e-05,0.005186,0.015755,0.00361,0.06510005,0.00276181,0.00045149,0.00128,3.12e-06,0.0697989,0.00072848,0.00010179,0.00603679,6.2e-07,1.957e-05,7.9e-06,0.2032653,0.010005,0.00654751,6.54e-06,0.00097999,4.919e-05,0.000724,5.422e-05
1501977600000.0,3245.00000924,0.0778163,5.637e-05,0.01415505,0.05894523,7.059e-05,0.00480001,0.01491118,0.00436,0.06288276,0.002858,0.00041081,0.00132147,2.96e-06,0.06498297,0.00066978,9.42e-05,0.00584251,6.3e-07,2.005e-05,7.35e-06,0.19095758,0.00944999,0.00662,6.13e-06,0.00111442,4.835e-05,0.00065037,4.528e-05
1502064000000.0,3238.0,0.082,5.59e-05,0.01404536,0.0587924,7.797e-05,0.00477,0.0148008,0.00493265,0.06420573,0.00324323,0.00042951,0.00160722,2.88e-06,0.06500001,0.00067142,9.985e-05,0.00584426,6.1e-07,1.935e-05,7.04e-06,0.1800052,0.00950079,0.00632448,5.91e-06,0.00085322,5.173e-05,0.000601,4.1e-05
1502150400000.0,3405.0,0.0792,5.261e-05,0.01352,0.05780456,8.391e-05,0.00448,0.01480001,0.005744,0.061553,0.00384,0.00039013,0.00165027,2.75e-06,0.06099945,0.00063254,9.053e-05,0.00554196,5.7e-07,2.106e-05,6.53e-06,0.1136,0.00901144,0.00620547,5.46e-06,0.00093669,5.018e-05,0.00058704,4.57e-05
1502236800000.0,3410.0,0.08675659,5.693e-05,0.0143199,0.0598,8.076e-05,0.00466107,0.01525985,0.00537125,0.07200009,0.00341454,0.00040301,0.00156503,2.76e-06,0.06110294,0.0006977,8.906e-05,0.00625,5.8e-07,2.162e-05,6.95e-06,0.1269999,0.00918295,0.00609,5.6e-06,0.00107984,5.039e-05,0.00058,4.188e-05
